zip,lat,lng,population,density
2554,41.28555,-70.08043,14033,135.5
2556,41.63903,-70.62521,2586,253.0
2557,41.44218,-70.56648,1849,220.3
2558,41.74453,-70.65377,1658,573.2
2559,41.69237,-70.61374,2812,203.6
2561,41.76782,-70.53281,260,121.1
2562,41.78753,-70.52746,3698,422.9
2563,41.71995,-70.4818,10315,301.4
2564,41.26552,-69.98608,243,15.5
2568,41.44341,-70.61534,8829,265.3
2571,41.76184,-70.70138,10538,217.6
2575,41.39651,-70.65496,2417,41.0
2576,41.77807,-70.76338,4498,184.7
2584,41.25753,-70.00522,23,65.1
2601,41.66,-70.29327,16066,707.4
2630,41.69674,-70.3052,2539,200.9
2631,41.74673,-70.06894,10189,177.2
2632,41.66074,-70.34826,12217,632.2
2633,41.68949,-69.97397,4536,202.9
2635,41.62348,-70.44051,3673,258.4
2637,41.70493,-70.27245,351,175.5
2638,41.73225,-70.19459,3256,223.0
2639,41.66639,-70.13535,3387,467.6
2641,41.75221,-70.15176,299,69.6
2642,41.83976,-69.97711,5772,159.6
2643,41.75534,-69.94002,0,0.0
2644,41.68361,-70.51202,3618,414.0
2645,41.70352,-70.06215,11060,252.3
2646,41.67103,-70.07144,1715,228.1
2647,41.63127,-70.30909,228,204.1
2648,41.67237,-70.41545,7592,293.6
2649,41.61778,-70.49077,15234,251.4
2650,41.7036,-69.96589,1017,287.9
2652,42.0428,-70.09276,924,42.5
2653,41.76901,-69.9737,6342,203.2
2655,41.62972,-70.39263,3535,210.9
2657,42.06139,-70.19813,3681,147.0
2659,41.68258,-70.02234,1090,212.3
2660,41.70828,-70.15517,6767,312.0
2663,41.90576,-69.989,446,60.3
2664,41.67486,-70.19446,9720,537.3
2666,41.98817,-70.04603,751,23.1
2667,41.92937,-70.02074,3925,89.5
2668,41.70713,-70.36246,2514,67.8
2670,41.66,-70.17098,1071,194.7
2671,41.66938,-70.11087,932,207.5
2672,41.6357,-70.31878,0,0.0
2673,41.6557,-70.24447,8969,373.6
2675,41.70401,-70.22883,6919,304.8
2702,41.78452,-71.06112,4445,102.1
2703,41.93108,-71.29499,46479,670.5
2713,41.42818,-70.89102,42,4.5
2715,41.81681,-71.15064,3778,130.5
2717,41.75405,-70.98312,4777,83.2
2718,41.86902,-71.01128,7125,267.4
2719,41.63945,-70.87322,15878,495.1
2720,41.73095,-71.10932,31063,909.8
2721,41.67451,-71.14869,25922,2487.8
2723,41.69237,-71.1309,17111,4142.8
2724,41.68372,-71.17949,18758,4021.3
2725,41.71253,-71.18426,2300,374.2
